DOC,DEM,farmland,forest,grassland,shrub,wetland,tundra,impermeablelayer,bareland,icesnow,bio12,bio1,t_clay,t_sand,t_silt,solar,DA,DADOM
0.9355,526,0.107706572,0.392415617,0.430948479,0.006382612,0.005088839,0,0.008812029,0.044304525,0.004341326,826,11.66666698,24,42,34,137.75,0.996906976210937,0.998802160733706
0.496,1261,0.013124306,0.340575739,0.579452529,0.036026941,0.000944662,0,0.022260842,0.007614982,0,830,8.58749962,23,41,36,174.8333333,0.997665917882422,0.999020578365518
0.3695,722,0.061556848,0.329354337,0.480409803,0.002181488,0.003283032,0,0.009431517,0.077468034,0.036314941,833,10.3125,19,37,44,146.0833333,0.997843031413194,0.999131968546566
1.9,135,0.016650654,0.216255763,0.379007307,0.00501547,0.005623672,0,0.363608317,0.013838817,0,834,20.24583244,56,20,24,187.6666667,0.996624488356537,0.998833152586067
2.18,135,0.016650654,0.216255763,0.379007307,0.00501547,0.005623672,0,0.363608317,0.013838817,0,834,20.24583244,56,20,24,187.6666667,0.996902059035371,0.998906234194193
2.15,135,0.016650654,0.216255763,0.379007307,0.00501547,0.005623672,0,0.363608317,0.013838817,0,834,20.24583244,56,20,24,187.6666667,0.996961233765469,0.998930974749622
0.5325,450,0.021902005,0.427265087,0.523011831,0.004855938,0.001170884,0,0.019861936,0.001932319,0,839,11.72083378,23,41,36,144.1666667,0.998173840755288,0.999115410909158
1.94,267,0.003157349,0.208253509,0.771963723,0.005426694,0.000205557,0,0.008847156,0.002146011,0,842,17.6875,24,47,29,189,0.995189163926262,0.998139342560216
2.23,267,0.003157349,0.208253509,0.771963723,0.005426694,0.000205557,0,0.008847156,0.002146011,0,842,17.6875,24,47,29,189,0.995359765932733,0.998196066244668
1.34,267,0.003157349,0.208253509,0.771963723,0.005426694,0.000205557,0,0.008847156,0.002146011,0,842,17.6875,24,47,29,189,0.996108179232224,0.998474777310111
0.894,341,0.0344251,0.449980624,0.49514159,0.000889871,6.45874E-05,0,0.004011597,0.01548663,0,848,11.74166679,19,37,44,137.5833333,0.997022467770974,0.998818900785545
0.8815,565,0.001939822,0.530462396,0.465162227,0.001300399,0,0,0.001120786,1.43691E-05,0,850,11.72916698,23,41,36,143.6666667,0.997850303021808,0.999048867601618
1.3575,1235,0.042078315,0.293372755,0.635970289,0.009288238,7.21137E-05,0,0.011271364,0.007946924,0,863,8.32499981,23,41,36,171.4166667,0.997763002300144,0.998953528991854
1.105,1353,0.032441769,0.190365033,0.697855765,0.014706839,0.001141858,0,0.045797168,0.017684341,7.22695E-06,874,7.7208333,19,37,44,178.5,0.99766563677896,0.998899209352281
0.3345,1052,0.026202257,0.484893009,0.38816505,0.000504167,0.001267619,0,0.002059881,0.043538385,0.053369633,879,8.92083359,23,41,36,162.6666667,0.997178334021559,0.998972663411667
0.3295,1020,0.058755544,0.378963868,0.39801933,0.003199988,0.007880784,0,0.013009434,0.083098571,0.05707248,880,8.6875,23,41,36,162.6666667,0.996949838809537,0.998754438358138
0.33,1146,0.017035395,0.644279072,0.318181164,0.000410231,0.000208714,0,0.000798872,0.018669123,0.000417428,881,9.4416666,19,37,44,154.3333333,0.996817604390998,0.998813936291948
0.67,371,0.034984575,0.08883173,0.809330241,0.000122484,0.000214348,0,0.012263739,0.054252884,0,893,12.40416622,23,39,38,177.5,0.99584657199193,0.998411497826497
